Age,Employment,RemoteWork,EdLevel,LearnCodeCoursesCert,YearsCodePro,DevType,OrgSize,Country,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,ToolsTechHaveWorkedWith,NEWCollabToolsHaveWorkedWith,AISelect,ICorPM,Industry,ConvertedCompYearly,learnedCodeViaBooksPhysicalmedia,learnedCodeViaCodingBootcamp,learnedCodeViaFriendorfamilymember,learnedCodeViaHackathonsvirtualorinperson,learnedCodeViaOnlineCoursesorCertification,learnedCodeViaOnthejobtraining,learnedCodeViaOtheronlineresourcesegvideosblogsforum,learnedCodeViaSchoolieUniversityCollegeetc,languageUsedCfamily,languageUsedHTMLCSS,languageUsedJavafamily,languageUsedJulia,languageUsedMATLAB,languageUsedPython,languageUsedR,languageUsedRuby,languageUsedSQL,languageUsedSwift,languageUsedVBA
25-34 years old,"Employed, full-time",In-person,Some college/university study without earning a degree,0,3,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",65000.0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,19,Cloud infrastructure engineer,100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,Healthcare,185000.0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
35-44 years old,"Employed, full-time",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,16,"Developer, desktop or enterprise applications",20 to 99 employees,United States of America,1,1,0,1,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",145000.0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,4,"Developer, back-end",2 to 9 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Manufacturing, Transportation, or Supply Chain",70000.0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0
35-44 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,4,"Developer, full-stack","10,000 or more employees",United States of America,0,1,1,1,1,0,Individual contributor,Healthcare,110000.0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,2,"Developer, back-end","10,000 or more employees",United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",182500.0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,5,"Developer, back-end","1,000 to 4,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,Financial Services,112000.0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,14,DevOps specialist,100 to 499 employees,United States of America,1,1,0,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",160000.0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
25-34 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,1,4,"Developer, front-end",500 to 999 employees,United States of America,1,1,1,1,1,0,Individual contributor,Healthcare,105000.0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,16,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,1,1,1,Individual contributor,Insurance,200000.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
35-44 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,18,"Developer, back-end",100 to 499 employees,United States of America,0,1,0,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",192000.0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0
25-34 years old,"Employed, full-time",In-person,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,10,"Senior Executive (C-Suite, VP, etc.)",10 to 19 employees,United States of America,0,1,1,0,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",119600.0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,3,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,Financial Services,88000.0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,12,"Developer, full-stack",20 to 99 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",135000.0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
45-54 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,29,"Developer, mobile",2 to 9 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Manufacturing, Transportation, or Supply Chain",130000.0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,9,"Developer, full-stack","10,000 or more employees",United States of America,1,1,1,1,1,1,Individual contributor,Higher Education,113000.0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0
45-54 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,28,"Developer, full-stack","5,000 to 9,999 employees",United States of America,1,0,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",125000.0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,17,"Developer, full-stack",100 to 499 employees,United States of America,1,0,1,1,1,1,Individual contributor,Advertising Services,180000.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,24,"Developer, full-stack","10,000 or more employees",United States of America,0,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",170100.0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
55-64 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,45,"Developer, desktop or enterprise applications",10 to 19 employees,United States of America,1,1,1,1,1,0,People manager,"Information Services, IT, Software Development, or other Technology",250000.0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,9,"Developer, front-end",20 to 99 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",250000.0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,11,DevOps specialist,"10,000 or more employees",United States of America,1,0,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",400000.0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0
35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,11,"Developer, full-stack",20 to 99 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",125000.0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0
55-64 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,1,32,"Developer, back-end","1,000 to 4,999 employees",United States of America,1,1,0,1,1,0,Individual contributor,Financial Services,140000.0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,5,"Developer, desktop or enterprise applications","10,000 or more employees",United States of America,1,0,0,1,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",110000.0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Associate degree (A.A., A.S., etc.)",1,10,"Developer, full-stack","10,000 or more employees",United States of America,1,1,1,0,1,0,Individual contributor,Financial Services,95000.0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,5,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,1,1,0,People manager,Retail and Consumer Services,125000.0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,7,"Developer, full-stack","5,000 to 9,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",205000.0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,1,3,"Developer, full-stack","1,000 to 4,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",83000.0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
45-54 years old,"Employed, full-time",Remote,"Associate degree (A.A., A.S., etc.)",0,16,Engineering manager,10 to 19 employees,United States of America,1,1,1,1,1,0,People manager,Advertising Services,165000.0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,13,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,0,1,0,Individual contributor,Retail and Consumer Services,160000.0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,4,Cloud infrastructure engineer,100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,Healthcare,168400.0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0
18-24 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,2,"Developer, QA or test","1,000 to 4,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,Financial Services,97500.0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,8,"Developer, full-stack",2 to 9 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",195000.0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
45-54 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,0,24,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,1,1,1,Individual contributor,Retail and Consumer Services,160.0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1
18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,1,"Developer, back-end","1,000 to 4,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",105000.0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,16,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,Financial Services,185000.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0
35-44 years old,"Employed, part-time",Remote,Some college/university study without earning a degree,0,25,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",104500.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,8,"Developer, embedded applications or devices","5,000 to 9,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",110000.0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,6,"Developer, front-end","5,000 to 9,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",400000.0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0
18-24 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,3,"Developer, front-end","10,000 or more employees",United States of America,1,1,1,1,1,0,Individual contributor,Financial Services,134499.0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,20,"Developer, back-end",20 to 99 employees,United States of America,1,1,1,1,1,1,People manager,Financial Services,190000.0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",0,3,Scientist,500 to 999 employees,United States of America,1,0,0,0,1,1,Individual contributor,Healthcare,100000.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,14,Engineering manager,"10,000 or more employees",United States of America,1,1,1,1,1,0,People manager,Healthcare,220000.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,18,"Developer, full-stack",20 to 99 employees,United States of America,1,1,1,1,1,0,Individual contributor,Healthcare,125000.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0
45-54 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,24,"Developer, full-stack",100 to 499 employees,United States of America,0,1,1,1,1,1,Individual contributor,Financial Services,200000.0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,5,"Developer, back-end","1,000 to 4,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",150000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,7,"Developer, back-end","5,000 to 9,999 employees",United States of America,0,0,0,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",275000.0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,5,Cloud infrastructure engineer,20 to 99 employees,United States of America,1,1,1,1,1,0,People manager,"Information Services, IT, Software Development, or other Technology",165000.0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,3,"Developer, full-stack","10,000 or more employees",United States of America,1,1,1,1,1,0,Individual contributor,Retail and Consumer Services,200000.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,7,"Developer, full-stack","1,000 to 4,999 employees",United States of America,1,1,1,1,1,1,Individual contributor,"Manufacturing, Transportation, or Supply Chain",140000.0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0
35-44 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,4,"Developer, full-stack","1,000 to 4,999 employees",United States of America,1,0,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",312000.0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0
55-64 years old,"Employed, full-time",Remote,"Associate degree (A.A., A.S., etc.)",0,10,"Developer, desktop or enterprise applications","1,000 to 4,999 employees",United States of America,1,1,1,0,1,1,Individual contributor,Healthcare,92000.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,10,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",117000.0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0
65 years or older,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,34,"Developer, desktop or enterprise applications",500 to 999 employees,United States of America,0,0,0,1,1,0,Individual contributor,Financial Services,350000.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,3,Data scientist or machine learning specialist,"10,000 or more employees",United States of America,1,0,0,0,1,1,Individual contributor,"Manufacturing, Transportation, or Supply Chain",85000.0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1
18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,3,"Developer, full-stack","10,000 or more employees",United States of America,1,1,1,1,1,1,Individual contributor,Advertising Services,170000.0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,11,"Developer, full-stack",10 to 19 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",130000.0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
45-54 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,0,37,"Developer, full-stack","10,000 or more employees",United States of America,1,1,1,1,1,0,Individual contributor,Financial Services,149000.0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,30,"Developer, full-stack",20 to 99 employees,United States of America,1,1,1,1,1,1,Individual contributor,Advertising Services,200000.0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0
35-44 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,6,"Developer, front-end","10,000 or more employees",United States of America,0,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",140000.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,3,"Developer, full-stack",2 to 9 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",135000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,0,18,"Developer, back-end",20 to 99 employees,United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",145000.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Associate degree (A.A., A.S., etc.)",0,14,"Developer, back-end",20 to 99 employees,United States of America,1,1,1,1,1,0,Individual contributor,Healthcare,170000.0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
55-64 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,35,Educator,"1,000 to 4,999 employees",United States of America,1,1,1,1,1,1,Individual contributor,Higher Education,175000.0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,1,17,Engineering manager,100 to 499 employees,United States of America,1,1,1,1,1,0,People manager,"Information Services, IT, Software Development, or other Technology",138020.0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,2,"Developer, full-stack","1,000 to 4,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",85000.0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,10,"Developer, mobile","10,000 or more employees",United States of America,1,0,0,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",350000.0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,2,"Developer, back-end","10,000 or more employees",United States of America,0,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",220000.0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,6,Cloud infrastructure engineer,"10,000 or more employees",United States of America,1,1,1,1,1,0,Individual contributor,"Manufacturing, Transportation, or Supply Chain",105000.0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0
45-54 years old,"Independent contractor, freelancer, or self-employed",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,25,"Developer, game or graphics",2 to 9 employees,United States of America,1,0,0,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",100000.0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time",In-person,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",1,15,Engineering manager,"10,000 or more employees",United States of America,1,1,1,1,1,0,People manager,Healthcare,390000.0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
45-54 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,30,"Developer, full-stack",2 to 9 employees,United States of America,1,1,1,1,1,1,Individual contributor,Retail and Consumer Services,130000.0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
35-44 years old,"Employed, full-time",Remote,Some college/university study without earning a degree,1,3,"Developer, front-end",10 to 19 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",95000.0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Associate degree (A.A., A.S., etc.)",1,4,Cloud infrastructure engineer,"5,000 to 9,999 employees",United States of America,1,1,0,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",110000.0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,8,"Developer, full-stack",500 to 999 employees,United States of America,1,1,1,1,1,0,Individual contributor,Retail and Consumer Services,200000.0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,9,Data scientist or machine learning specialist,2 to 9 employees,United States of America,1,1,1,1,1,1,People manager,"Information Services, IT, Software Development, or other Technology",185000.0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,18,"Developer, full-stack",20 to 99 employees,United States of America,1,1,1,1,1,0,People manager,"Information Services, IT, Software Development, or other Technology",155000.0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0
18-24 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,1,"Developer, desktop or enterprise applications",100 to 499 employees,United States of America,0,0,0,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",85000.0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
35-44 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,17,"Developer, back-end","1,000 to 4,999 employees",United States of America,1,1,1,1,1,1,Individual contributor,"Manufacturing, Transportation, or Supply Chain",174900.0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0
35-44 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,19,"Developer, full-stack",100 to 499 employees,United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",153000.0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
25-34 years old,"Employed, full-time",Remote,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",0,5,"Developer, back-end","1,000 to 4,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,"Information Services, IT, Software Development, or other Technology",270000.0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0
25-34 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,7,Cloud infrastructure engineer,"10,000 or more employees",United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",200000.0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",0,9,"Engineer, data","1,000 to 4,999 employees",United States of America,0,1,1,1,1,1,Individual contributor,Advertising Services,224000.0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0
35-44 years old,"Employed, full-time",Remote,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,10,Cloud infrastructure engineer,"1,000 to 4,999 employees",United States of America,1,1,1,1,1,0,Individual contributor,Retail and Consumer Services,150000.0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0
25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,9,"Developer, full-stack","10,000 or more employees",United States of America,1,1,1,1,1,1,Individual contributor,"Information Services, IT, Software Development, or other Technology",224000.0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0
